t,water
1538,2210000
1539,2210000
1540,2210000
1541,2210000
1542,2210000
1543,2210000
1544,2210000
1545,2210000
1546,2210000
1547,2210000
1548,2211000
1549,2210000
1550,2210000
1551,2210000
1552,2210000
1553,2210000
1554,2209000
1555,2210000
1556,2210000
1557,2208000
1558,2207000
1559,2207000
1560,2207000
1561,2208000
1562,2208000
1563,2207000
1564,2207000
1565,2208000
1566,2208000
1567,2207000
1568,2207000
1569,2207000
1570,2207000
1571,2206000
1572,2206000
1573,2207000
1574,2207000
1575,2206000
1576,2206000
1577,2206000
1578,2207000
1579,2207000
1580,2205000
1581,2206000
1582,2206000
1583,2205000
1584,2205000
1585,2206000
1586,2206000
1587,2206000
1588,2205000
1589,2205000
1590,2205000
1591,2206000
1592,2205000
1593,2205000
1594,2205000
1595,2206000
1596,2205000
1597,2205000
1598,2205000
1599,2205000
1600,2205000
1601,2204000
1602,2204000
1603,2204000
1604,2204000
1605,2203000
1606,2204000
1607,2204000
1608,2204000
1609,2203000
1610,2203000
1611,2204000
1612,2204000
1613,2203000
1614,2203000
1615,2203000
1616,2204000
1617,2204000
1618,2203000
1619,2203000
1620,2204000
1621,2204000
1622,2203000
1623,2203000
1624,2203000
1625,2203000
1626,2202000
1627,2202000
1628,2203000
1629,2203000
1630,2201000
1631,2201000
1632,2201000
1633,2202000
1634,2202000
1635,2201000
1636,2201000
1637,2202000
1638,2202000
1639,2201000
1640,2201000
1641,2202000
1642,2203000
1643,2202000
1644,2201000
1645,2201000
1646,2203000
1647,2202000
1648,2200000
1649,2200000
1650,2200000
1651,2200000
1652,2199000
1653,2199000
1654,2199000
1655,2199000
1656,2198000
1657,2198000
1658,2199000
1659,2199000
1660,2198000
1661,2198000
1662,2198000
1663,2199000
1664,2198000
1665,2197000
1666,2198000
1667,2198000
1668,2198000
1669,2197000
1670,2197000
1671,2197000
1672,2197000
1673,2196000
1674,2196000
1675,2196000
1676,2196000
1677,2195000
1678,2195000
1679,2195000
1680,2196000
1681,2195000
1682,2195000
1683,2195000
1684,2195000
1685,2196000
1686,2193000
1687,2194000
1688,2195000
1689,2195000
1690,2193000
1691,2193000
1692,2193000
1693,2193000
1694,2193000
1695,2191000
1696,2192000
1697,2192000
1698,2192000
1699,2191000
1700,2191000
1701,2191000
1702,2191000
1703,2189000
1704,2189000
1705,365000
1706,365000
1707,365000
1708,365000
1709,365000
1710,365000
1711,365000
1712,365000
1713,365000
1714,365000
1715,365000
1716,365000
1717,365000
1718,365000
1719,365000
1720,365000
1721,365000
1722,365000
1723,365000
1724,365000
1725,365000
1726,365000
1727,364000
1728,364000
1729,364000
1730,364000
1731,364000
1732,364000
1733,364000
1734,364000
1735,364000
